No;I;1;2;II;1;III;1;2;IV;1;V;1;VI;1;2;VII;1;2;3;VIII;1;2
Komoditas (Rp);Beras;Beras Kualitas Medium I;Beras Kualitas Super I;Daging Ayam;Daging Ayam Ras Segar;Daging Sapi;Daging Sapi Kualitas 1;Daging Sapi Kualitas 2;Bawang Merah;Bawang Merah Ukuran Sedang;Bawang Putih;Bawang Putih Ukuran Sedang;Cabai Rawit;Cabai Rawit Hijau;Cabai Rawit Merah;Minyak Goreng;Minyak Goreng Curah;Minyak Goreng Kemasan Bermerk 1;Minyak Goreng Kemasan Bermerk 2;Gula Pasir;Gula Pasir Kualitas Premium;Gula Pasir Lokal
 03/ 2024;16,700;16,200;17,150;31,300;31,300;132,500;132,500;135,000;38,850;38,850;53,750;53,750;47,950;47,950;47,950;23,100;18,850;26,750;24,300;20,300;21,000;20,100
 04/ 2024;15,050;14,500;15,550;30,150;30,150;135,000;135,000;135,000;55,450;55,450;60,450;60,450;63,350;63,350;63,350;23,050;18,450;25,800;25,550;19,850;21,000;19,700
 05/ 2024;14,600;14,100;15,150;29,800;29,800;135,000;135,000;135,000;48,350;48,350;49,200;49,200;62,950;62,950;62,950;23,100;18,450;25,150;26,500;19,450;21,000;19,250
 06/ 2024;14,400;13,850;14,950;29,900;29,900;135,000;135,000;135,000;47,100;47,100;49,000;49,000;56,250;56,250;56,250;23,500;18,550;25,800;26,800;18,900;21,000;18,700
 07/ 2024;14,350;13,750;14,950;29,750;29,750;132,500;132,500;135,000;31,600;31,600;44,600;44,600;70,850;70,850;70,850;23,500;18,600;25,800;26,800;18,800;21,000;18,600
 08/ 2024;14,800;14,350;15,200;27,150;27,150;132,500;132,500;135,000;29,200;29,200;45,350;45,350;70,700;70,700;70,700;23,550;18,750;25,800;26,800;18,800;21,000;18,600
 09/ 2024;14,700;14,450;14,950;26,050;26,050;132,500;132,500;135,000;37,450;37,450;45,200;45,200;64,600;64,600;64,600;23,750;19,300;25,800;26,800;18,800;20,000;18,700
 10/ 2024;14,500;14,200;14,800;30,750;30,750;132,500;132,500;135,000;40,250;40,250;46,250;46,250;48,350;48,350;48,350;24,600;21,700;25,800;26,800;19,300;20,000;19,200
 11/ 2024;14,550;14,250;14,800;30,500;30,500;132,500;132,500;135,000;49,600;49,600;47,950;47,950;72,950;72,950;72,950;24,950;21,700;26,650;27,150;19,300;20,000;19,200
 12/ 2024;14,550;14,250;14,800;33,400;33,400;132,500;132,500;135,000;45,000;45,000;47,950;47,950;50,450;50,450;50,450;25,100;21,700;26,850;27,150;19,550;20,000;19,450
